experiment_id	timestamp	hypothesis	change	file	dqs_polka	dqs_fluffy	dqs_mood	dqs_dream	dqs_dino	dqs_silent	avg_dqs_before	avg_dqs_after	kept
0	2026-03-11T14:10:00Z	baseline (3 scenarios)	initial minimal prompt	-	0.7034	-	-	-	0.6525	-	-	0.6754	yes
1	2026-03-11T15:00:00Z	explicit closing structure	added closing structure	prompts/system_prompt.md	-	-	-	-	-	-	0.6754	0.6820	yes
1b	2026-03-11T17:50:00Z	6-scenario baseline	rebaseline with all 6 scenarios	-	0.6773	0.6930	0.6463	0.5903	0.6367	0.6402	-	0.6473	yes
2	2026-03-11T18:10:00Z	explicit script-following instructions	added Follow Script directive with bullets	prompts/system_prompt.md	0.6898	0.6921	0.6759	0.6329	0.6412	0.6720	0.6473	0.6673	yes
3	2026-03-11T18:30:00Z	structured closing template	replaced closing with 4-part template	prompts/system_prompt.md	0.6816	0.6777	0.6415	0.5311	0.6426	0.6193	0.6673	0.6323	no
4	2026-03-11T18:50:00Z	category-specific transition examples	added Cat1/Cat5 transition examples	prompts/system_prompt.md	0.6636	0.6213	0.6341	0.5742	0.6387	0.6087	0.6673	0.6234	no
5	2026-03-11T19:10:00Z	collection activity few-shot	added T1 Cat5 example to few_shot.md	prompts/few_shot.md	0.7149	0.6727	0.0000	0.5661	0.6199	0.6313	0.6673	0.5342	no
6	2026-03-11T19:30:00Z	sentence length enforcement	added CRITICAL sentence length rules	prompts/system_prompt.md	0.6754	0.6839	0.6151	0.6022	0.6182	0.6428	0.6673	0.6396	no
7	2026-03-11T19:50:00Z	wonder-driven role reframing	rewrote Role section with wonder personality	prompts/system_prompt.md	0.6699	0.6909	0.6176	0.5602	0.6370	0.6808	0.6673	0.6427	no
8	2026-03-11T20:10:00Z	trim multimedia catalogs	removed animation/sfx/music lists	prompts/system_prompt.md	0.7069	0.6288	0.6354	0.5732	0.6486	0.6212	0.6673	0.6357	no
9	2026-03-11T20:30:00Z	fix concept naming alignment	T0 name 1 concept T1 name 2	prompts/system_prompt.md	0.6858	0.6860	0.6067	0.6520	0.6319	0.6207	0.6673	0.6421	no
10	2026-03-11T20:50:00Z	must-include keywords in template	added IMPORTANT must-reference block	prompts/activity_context_template.md	0.6858	0.6778	0.6002	0.5641	0.6519	0.6199	0.6673	0.6333	no
11	2026-03-11T21:10:00Z	closing+multimedia in few-shot	added closing turn and SCREEN/AUDIO to example	prompts/few_shot.md	0.6919	0.6316	0.6168	0.6077	0.6409	0.6230	0.6673	0.6353	no
